amenity	hotels	occurrences	pct_hotels
Điều hòa	27	250	100.0%
Giải trí	27	221	100.0%
Tính năng an toàn và an ninh	27	221	100.0%
Phòng tắm và vật dụng vệ sinh	27	207	100.0%
Bố trí và nội thất phòng	27	203	100.0%
Quần áo và giặt ủi	27	197	100.0%
Ăn uống	27	191	100.0%
WiFi miễn phí	27	183	100.0%
Tiếng Anh	27	54	100.0%
Tiếng Việt	27	54	100.0%
Không hút thuốc	26	205	96.3%
TV màn hình phẳng	26	182	96.3%
Bếp	26	181	96.3%
Dọn phòng hằng ngày	26	76	96.3%
Bàn tiếp tân 24 giờ	26	52	96.3%
Bảo vệ 24 giờ	25	50	92.6%
Dịch vụ giặt là	25	50	92.6%
Truyền hình cáp vệ tinh	24	184	88.9%
Phòng tập	24	70	88.9%
Mát-xa	24	49	88.9%
Giữ hành lý	24	48	88.9%
Spa xông khô	24	48	88.9%
Thích hợp cho gia đình trẻ em	24	48	88.9%
Điều hòa ở khu vực chung	24	48	88.9%
Đỗ xe miễn phí	24	48	88.9%
Khu vực tiếp khách	23	141	85.2%
Nhân viên chăm sóc khách hàng	23	60	85.2%
Bữa sáng tự chọn	23	47	85.2%
Giặt khô	23	46	85.2%
Thang máy	23	46	85.2%
Tính năng an toàn bảo mật	22	154	81.5%
Phòng xông ướt	22	45	81.5%
CCTV trong khu vực chung	22	44	81.5%
Cơ sở vật chất cho họp mặt tiệc lớn	22	44	81.5%
Dịch vụ ủi đồ	22	44	81.5%
Hoàn toàn không hút thuốc	22	44	81.5%
Nhà hàng	22	40	81.5%
1 giường lớn	21	77	77.8%
Dịch vụ taxi	21	42	77.8%
Nhân viên trực cửa	21	42	77.8%
Spa	21	21	77.8%
Ban công sân hiên	20	141	74.1%
WiFi	20	47	74.1%
Bồn tắm nước nóng	20	40	74.1%
Nhận/trả phòng 24 giờ	20	40	74.1%
Đổi ngoại tệ	20	40	74.1%
Đỗ xe tại chỗ	20	40	74.1%
Đưa đón sân bay	20	39	74.1%
Bể bơi trong nhà	19	57	70.4%
Bể bơi ngoài trời	19	54	70.4%
CLB trẻ em	19	38	70.4%
Khử trùng hằng ngày	19	38	70.4%
Phòng gia đình	19	38	70.4%
Tiệm làm đẹp	19	38	70.4%
Tủ lạnh	18	116	66.7%
Khả năng tiếp cận cho người khuyết tật	18	101	66.7%
Quán bar cạnh bể bơi	18	40	66.7%
Khu vực hút thuốc	18	36	66.7%
Tiện nghi cho khách khuyết tật	18	36	66.7%
Cách âm	17	127	63.0%
Dịch vụ phòng 24 giờ	17	34	63.0%
Dịch vụ văn phòng fax photocopy	17	34	63.0%
Phòng khách riêng	16	43	59.3%
Bể bơi trẻ em	16	32	59.3%
Dịch vụ trông trẻ	16	32	59.3%
Dịch vụ đưa đón	16	32	59.3%
Phù hợp cho xe lăn	16	32	59.3%
Quán cà phê	16	32	59.3%
Sân hiên	16	32	59.3%
Giường cũi của em bé theo yêu cầu	15	94	55.6%
Dành cho trẻ em	15	88	55.6%
Điện thoại trong phòng tắm	15	68	55.6%
Chuyến du lịch	15	30	55.6%
Giãn cách vật lý ít nhất 1 mét	15	30	55.6%
Giặt đồ vải lanh và quần áo bằng nước nóng	15	30	55.6%
Ô	14	93	51.9%
Máy pha trà cà phê	14	86	51.9%
Bàn ăn	14	58	51.9%
Vườn	14	29	51.9%
Nhận trả phòng nhanh	14	28	51.9%
Phòng họp	14	28	51.9%
2 giường đơn	14	24	51.9%
Sàn gỗ miếng	13	84	48.1%
Hướng thành phố	13	80	48.1%
Bộ kim chỉ	13	79	48.1%
Bể bơi riêng	13	68	48.1%
Hướng vườn	13	50	48.1%
Bãi biển riêng	13	28	48.1%
Bữa sáng kiểu lục địa	13	26	48.1%
Nhà hàng phục vụ gọi theo món	13	26	48.1%
Nhân viên được đào tạo về giao thức an toàn	13	26	48.1%
Quầy đồ ăn vặt	13	26	48.1%
1 giường lớn hoặc 2 giường đơn	12	27	44.4%
Hướng đại dương	12	27	44.4%
Bữa ăn cho trẻ	12	24	44.4%
Kiểm tra nhiệt độ cho khách và nhân viên	12	24	44.4%
Lựa chọn thức ăn bọc riêng	12	24	44.4%
Nhà hàng bữa sáng	12	24	44.4%
Nhà hàng phục vụ bữa trưa	12	24	44.4%
Sân chơi	12	24	44.4%
Đỗ xe có nhân viên	12	24	44.4%
Quán bar	12	23	44.4%
Phòng tắm đứng	11	57	40.7%
Đèn đọc sách	11	56	40.7%
Máy rửa bát	11	50	40.7%
Khu vực ăn uống riêng	11	46	40.7%
Nhà vệ sinh phụ	11	34	40.7%
Sân gôn tại chỗ nghỉ	11	27	40.7%
Cửa hàng quà tặng quà lưu niệm	11	22	40.7%
Dịch vụ vé	11	22	40.7%
Nhân viên đeo khẩu trang	11	22	40.7%
Đỗ xe gần bên	11	22	40.7%
Đỗ xe đạp	11	22	40.7%
Giường gấp	10	48	37.0%
Sân quần vợt	10	21	37.0%
Cửa hàng tạp hóa	10	20	37.0%
Dịch vụ thanh toán không sử dụng tiền mặt	10	20	37.0%
Nhà hàng phục vụ cà phê trà	10	20	37.0%
Nhà hàng ẩm thực châu á	10	20	37.0%
Phòng cách âm	10	20	37.0%
Ô tô cho thuê	10	20	37.0%
TV	10	19	37.0%
Phòng tắm có băng ghế tắm	9	37	33.3%
Thiết bị chơi điện tử	9	31	33.3%
Sân gôn	9	19	33.3%
Bữa sáng miễn phí	9	18	33.3%
Bữa sáng trong phòng	9	18	33.3%
CCTV bên ngoài chỗ nghỉ	9	18	33.3%
Cơ sở vật chất cho trẻ em	9	18	33.3%
Máy chiếu màn hình led	9	18	33.3%
Phòng chờ chung khu vực tv	9	18	33.3%
Phòng không hút thuốc	9	18	33.3%
Đi lên bằng thang máy	8	46	29.6%
